participant_id,age,gender,condition,hours_weekly,trait_hostility,empathy,aggression
1,24,man,neutral,6.1,4.5,3.2,4.2
2,24,woman,violent,3.5,4.5,4.4,4.5
3,20,man,neutral,14.3,4.0,4.6,3.8
4,24,non-binary,neutral,10.4,4.3,4.5,5.4
5,22,woman,violent,16.2,4.8,5.9,6.7
6,18,non-binary,violent,2.5,2.6,4.8,4.2
7,21,non-binary,neutral,3.9,2.8,3.2,3.1
8,21,man,neutral,8.4,4.3,3.8,5.6
9,22,man,neutral,6.0,5.6,3.2,4.1
10,18,woman,violent,10.7,3.4,5.1,7.7
11,24,woman,neutral,16.6,2.3,6.1,4.7
12,18,man,violent,3.6,5.0,4.1,5.7
13,23,woman,neutral,4.3,3.1,3.3,3.6
14,20,woman,violent,4.4,3.0,4.6,4.7
15,24,woman,violent,3.8,1.0,5.8,1.6
16,19,man,neutral,33.0,3.3,3.7,5.8
17,18,man,neutral,20.0,4.2,5.0,5.7
18,23,woman,neutral,7.4,2.3,5.0,3.1
19,25,man,violent,11.7,4.6,3.4,8.6
20,23,man,neutral,9.8,2.2,5.3,3.3
21,25,woman,violent,7.1,2.7,4.3,5.3
22,22,man,neutral,3.4,2.3,5.4,2.1
23,18,man,violent,4.9,2.4,5.9,4.5
24,18,woman,violent,6.8,1.7,5.4,3.1
25,23,man,neutral,13.2,3.0,4.1,4.8
26,21,man,neutral,8.6,2.9,3.9,3.2
27,22,man,neutral,4.7,3.1,5.1,3.7
28,19,man,neutral,13.6,3.7,4.0,5.3
29,19,man,violent,1.7,1.4,5.5,4.1
30,18,man,violent,6.8,4.0,3.8,6.1
31,25,man,violent,5.4,4.1,4.1,6.3
32,21,man,violent,5.9,3.2,5.7,5.2
33,23,woman,neutral,7.8,4.1,3.8,2.6
34,18,woman,violent,1.5,3.3,4.8,3.4
35,22,man,neutral,3.7,5.6,2.8,1.8
36,19,man,neutral,3.7,4.7,3.7,4.0
37,19,man,neutral,13.4,4.4,4.0,3.8
38,21,woman,neutral,9.1,1.8,5.3,3.7
39,23,man,violent,11.4,3.5,4.6,6.3
40,21,woman,violent,1.6,4.3,3.5,8.1
41,20,man,neutral,3.5,4.6,3.9,4.1
42,19,man,violent,3.6,3.4,5.9,3.1
43,20,woman,neutral,9.6,5.9,2.8,5.8
44,22,man,violent,10.7,4.0,5.1,6.1
45,22,man,violent,4.6,2.7,6.8,5.4
46,20,non-binary,violent,16.2,2.7,5.0,6.9
47,20,non-binary,violent,5.6,4.1,5.5,5.3
48,25,man,violent,10.4,4.5,3.2,7.8
49,25,man,neutral,4.9,4.2,5.4,3.1
50,23,man,violent,11.7,3.3,5.0,6.4
